id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
OBL0000066,CLI0006072,PROD012,8479043.0,8265526.0,7268013.0,344397.0,2024-07-09,2026-06-29,7,2.0,B
OBL0000067,CLI0004318,PROD014,40428543.0,39521716.0,4536280.0,1646738.0,2024-01-24,2026-01-13,0,21.0,A
OBL0000068,CLI0007806,PROD008,42126735.0,40955345.0,1869785.0,3412945.0,2024-09-30,2025-09-25,17,11.0,B
OBL0000069,CLI0000474,PROD014,4324476.0,4243504.0,1929601.0,176813.0,2024-02-13,2026-02-02,7,13.0,B
OBL0000070,CLI0005554,PROD003,17228161.0,15460214.0,7768410.0,429450.0,2024-07-30,2027-07-15,0,17.0,A
OBL0000071,CLI0007374,PROD014,3577246.0,3279772.0,2370088.0,136657.0,2024-03-13,2026-03-03,49,6.0,C
OBL0000072,CLI0007050,PROD007,29441413.0,28876780.0,27057682.0,802133.0,2024-08-20,2027-08-05,0,2.0,A
OBL0000073,CLI0009061,PROD003,47966097.0,43231028.0,20178163.0,1200862.0,2024-06-13,2027-05-29,0,19.0,A
OBL0000074,CLI0003811,PROD005,43678674.0,38102638.0,35069128.0,635044.0,2024-05-14,2029-04-18,0,4.0,A
OBL0000075,CLI0009250,PROD014,45809769.0,42435413.0,18181089.0,1768142.0,2024-12-28,2026-12-18,0,13.0,A
OBL0000076,CLI0004846,PROD013,34575802.0,34090689.0,6810803.0,2840891.0,2024-11-26,2025-11-21,0,9.0,A
OBL0000077,CLI0002011,PROD001,6178975.0,6003247.0,2812780.0,125068.0,2024-09-24,2028-09-03,0,25.0,A
OBL0000078,CLI0005031,PROD006,1176704.0,1117503.0,551566.0,23281.0,2024-10-12,2028-09-21,0,24.0,A
OBL0000079,CLI0006330,PROD008,34425555.0,31981596.0,8640759.0,2665133.0,2024-04-14,2025-04-09,0,8.0,A
OBL0000080,CLI0002594,PROD010,29851421.0,29329740.0,23133755.0,814715.0,2024-08-03,2027-07-19,0,7.0,A
OBL0000081,CLI0007544,PROD006,3766025.0,3737574.0,3464334.0,77866.0,2024-08-04,2028-07-14,0,3.0,A
OBL0000082,CLI0002565,PROD011,38853481.0,36390378.0,20270784.0,1516266.0,2024-02-15,2026-02-04,1,10.0,B
OBL0000083,CLI0004008,PROD013,35685065.0,32809609.0,2409478.0,2734134.0,2024-07-29,2025-07-24,15,11.0,B
OBL0000084,CLI0006528,PROD013,33482155.0,32652407.0,30867479.0,2721034.0,2024-09-08,2025-09-03,0,0.0,
OBL0000085,CLI0004326,PROD002,31648601.0,30281280.0,23370067.0,504688.0,2024-05-07,2029-04-11,29,13.0,B
OBL0000086,CLI0001572,PROD007,11332949.0,10507265.0,631672.0,291868.0,2024-02-21,2027-02-05,0,,A
OBL0000087,CLI0003173,PROD003,22140328.0,21405320.0,9917776.0,594592.0,2024-09-04,2027-08-20,78,19.0,D
OBL0000088,CLI0003881,PROD011,2425360.0,2306334.0,843263.0,96097.0,2024-09-14,2026-09-04,22,15.0,B
OBL0000089,CLI0006109,PROD002,33878274.0,28860185.0,12433102.0,481003.0,2024-08-09,2029-07-14,0,34.0,A
OBL0000090,CLI0000075,PROD004,19024046.0,17640943.0,7200414.0,490026.0,2024-05-20,2027-05-05,0,21.0,A
OBL0000091,CLI0000138,PROD001,20515194.0,18393738.0,6404503.0,383203.0,2024-11-01,2028-10-11,15,31.0,B
OBL0000092,CLI0003713,PROD014,43311094.0,41634978.0,5897657.0,1734791.0,2024-08-09,2026-07-30,0,20.0,A
OBL0000093,CLI0007829,PROD003,37693869.0,34503563.0,26102272.0,958432.0,2024-12-13,2027-11-28,0,8.0,A
OBL0000094,CLI0000601,PROD007,4464120.0,4450791.0,752594.0,123633.0,2024-08-09,2027-07-25,6,29.0,B
OBL0000095,CLI0009440,PROD007,45271729.0,41046721.0,35922205.0,1140187.0,2024-04-16,2027-04-01,0,4.0,A
OBL0000096,CLI0005586,PROD007,21209309.0,18380689.0,5337160.0,510575.0,2024-01-17,2027-01-01,0,25.0,A
OBL0000097,CLI0008410,PROD006,12301867.0,10977335.0,1577579.0,228694.0,2024-01-23,2028-01-02,33,41.0,C
OBL0000098,CLI0004398,PROD004,12697748.0,11500922.0,3469572.0,319470.0,2024-02-28,2027-02-12,295,25.0,E
OBL0000099,CLI0008533,PROD005,13026992.0,11409081.0,2685390.0,190151.0,2024-05-18,2029-04-22,17,45.0,B
OBL0000100,CLI0007127,PROD006,14894535.0,13805704.0,1090222.0,287619.0,2024-01-31,2028-01-10,85,44.0,D
OBL0000101,CLI0009675,PROD006,27702300.0,26348555.0,9352329.0,548928.0,2024-10-06,2028-09-15,2,30.0,B
OBL0000102,CLI0000791,PROD014,6530222.0,5811508.0,955358.0,242146.0,2024-12-17,2026-12-07,0,20.0,A
OBL0000103,CLI0002851,PROD013,17169610.0,16923120.0,16151677.0,1410260.0,2024-11-09,2025-11-04,0,0.0,A
OBL0000104,CLI0004217,PROD010,26256303.0,24300166.0,14587262.0,675005.0,2024-08-21,2027-08-06,0,14.0,A
OBL0000105,CLI0004556,PROD015,8726855.0,7417926.0,292961.0,123632.0,2024-11-29,2029-11-03,107,57.0,E
OBL0000106,CLI0009877,PROD003,43099258.0,36742807.0,8033145.0,1020634.0,2024-06-29,2027-06-14,0,28.0,A
OBL0000107,CLI0003543,PROD008,29437823.0,28017737.0,22042062.0,2334811.0,2024-09-09,2025-09-04,0,2.0,A
OBL0000108,CLI0004579,PROD011,40981342.0,35348938.0,26926698.0,1472872.0,2024-05-17,2026-05-07,0,5.0,A
OBL0000109,CLI0005365,PROD007,11017980.0,10466450.0,4759935.0,290735.0,2024-06-29,2027-06-14,0,19.0,A
OBL0000110,CLI0009796,PROD012,43428166.0,40022022.0,13659449.0,1667584.0,2024-06-01,2026-05-22,0,15.0,A
OBL0000111,CLI0008794,PROD001,33559065.0,31514257.0,22511647.0,656547.0,2024-11-12,2028-10-22,0,,A
OBL0000112,CLI0005827,PROD005,8407752.0,8043905.0,7157155.0,134065.0,2024-12-14,2029-11-18,75,6.0,
OBL0000113,CLI0004821,PROD004,43197827.0,36873127.0,9163896.0,1024254.0,2024-08-07,2027-07-23,26,27.0,B
OBL0000114,CLI0008881,PROD012,41505794.0,37377518.0,29668612.0,1557397.0,2024-11-21,2026-11-11,0,4.0,A
OBL0000115,CLI0005127,PROD012,9585012.0,9072073.0,3653937.0,378003.0,2024-11-05,2026-10-26,0,14.0,A
OBL0000116,CLI0000818,PROD013,44275909.0,41347783.0,38295377.0,3445649.0,2024-04-15,2025-04-10,9,0.0,B
OBL0000117,CLI0009097,PROD011,2928536.0,2688847.0,1684047.0,112035.0,2024-11-19,2026-11-09,38,8.0,C
OBL0000118,CLI0002296,PROD013,20742235.0,19921468.0,16239403.0,1660122.0,2024-03-06,2025-03-01,0,2.0,A
OBL0000119,CLI0005017,PROD003,8103722.0,7230245.0,6431014.0,200840.0,2024-03-03,2027-02-16,0,3.0,A
OBL0000120,CLI0003642,PROD010,35659563.0,30790414.0,18632086.0,855289.0,2024-06-15,2027-05-31,0,14.0,A
OBL0000121,CLI0000195,PROD009,35933474.0,30961646.0,10311701.0,860046.0,2024-02-16,2027-01-31,134,24.0,E
OBL0000122,CLI0000476,PROD009,12700241.0,12486805.0,11604974.0,346856.0,2024-07-30,2027-07-15,29,2.0,B
OBL0000123,CLI0008172,PROD015,32726666.0,30805518.0,19978067.0,513425.0,2024-04-29,2029-04-03,0,21.0,A
OBL0000124,CLI0000038,PROD011,36351972.0,33386742.0,31572459.0,1391114.0,2024-06-02,2026-05-23,1,1.0,B
OBL0000125,CLI0004230,PROD014,4223995.0,4127133.0,3711400.0,171964.0,2024-08-17,2026-08-07,0,2.0,A
OBL0000126,CLI0001675,PROD010,48335320.0,47046246.0,19495956.0,1306840.0,2024-07-18,2027-07-03,0,21.0,A
OBL0000127,CLI0007230,PROD005,44986404.0,41833977.0,1611390.0,697233.0,2024-07-02,2029-06-06,0,57.0,A
OBL0000128,CLI0001662,PROD001,19306096.0,17460040.0,4198279.0,363751.0,2024-05-15,2028-04-24,56,36.0,
OBL0000129,CLI0007527,PROD015,38032517.0,34002883.0,12081607.0,566715.0,2024-11-24,2029-10-29,0,38.0,A
OBL0000130,CLI0006531,PROD009,3446775.0,3090324.0,1433115.0,85842.0,2024-01-19,2027-01-03,0,19.0,
OBL0000131,CLI0003303,PROD014,4685023.0,4659458.0,2377258.0,194144.0,2024-11-16,2026-11-06,68,11.0,D
OBL0000132,CLI0006275,PROD013,30132201.0,30037416.0,25727179.0,2503118.0,2024-11-29,2025-11-24,0,1.0,A
OBL0000133,CLI0009139,PROD004,4602072.0,4238295.0,3634365.0,117730.0,2024-12-10,2027-11-25,0,5.0,A
OBL0000134,CLI0002000,PROD007,15354572.0,13812993.0,8113270.0,383694.0,2024-10-21,2027-10-06,15,14.0,B
OBL0000135,CLI0006927,PROD010,47261443.0,43782051.0,40151907.0,1216168.0,2024-09-01,2027-08-17,0,2.0,A
OBL0000136,CLI0008656,PROD015,44053100.0,42687941.0,38317633.0,711466.0,2024-10-03,2029-09-07,15,6.0,B
OBL0000137,CLI0001752,PROD006,3009172.0,2871917.0,2470225.0,59832.0,2024-07-11,2028-06-20,0,6.0,A
OBL0000138,CLI0003796,PROD006,30563531.0,29546033.0,14165274.0,615542.0,2024-08-21,2028-07-31,76,24.0,
OBL0000139,CLI0000786,PROD005,40607972.0,36096971.0,31424306.0,601616.0,2024-05-16,2029-04-20,0,7.0,A
OBL0000140,CLI0000506,PROD007,6478319.0,5955600.0,3243662.0,165433.0,2024-09-05,2027-08-21,56,16.0,C
OBL0000141,CLI0001829,PROD011,26244351.0,26054124.0,25709223.0,1085588.0,2024-08-14,2026-08-04,0,0.0,A
OBL0000142,CLI0009390,PROD005,27035624.0,25805266.0,22702876.0,430088.0,2024-12-21,2029-11-25,36,7.0,C
OBL0000143,CLI0005932,PROD001,38887361.0,34909611.0,21086940.0,727284.0,2024-06-11,2028-05-21,0,19.0,A
OBL0000144,CLI0004464,PROD005,19127861.0,18273532.0,14482742.0,304559.0,2024-03-09,2029-02-11,0,12.0,A
OBL0000145,CLI0001562,PROD013,49291299.0,45853306.0,22123486.0,3821109.0,2024-02-27,2025-02-21,47,6.0,C
OBL0000146,CLI0006769,PROD003,45518681.0,41017459.0,10724621.0,1139374.0,2024-08-16,2027-08-01,0,26.0,A
OBL0000147,CLI0004427,PROD012,12431834.0,12009928.0,11753162.0,500414.0,2024-07-03,2026-06-23,0,0.0,A
OBL0000148,CLI0002756,PROD015,20079845.0,19233200.0,9236341.0,320553.0,2024-01-05,2028-12-09,31,31.0,C
OBL0000149,CLI0002021,PROD002,35000510.0,33592136.0,19444265.0,559869.0,2024-12-17,2029-11-21,0,25.0,A
OBL0000150,CLI0005794,PROD014,8188772.0,7099571.0,3945604.0,295815.0,2024-03-13,2026-03-03,20,10.0,B
OBL0000151,CLI0000220,PROD013,40095461.0,35122585.0,30670986.0,2926882.0,2024-05-19,2025-05-14,0,1.0,A
OBL0000152,CLI0007129,PROD009,40622811.0,35947192.0,31867249.0,998533.0,2024-10-14,2027-09-29,0,4.0,A
OBL0000153,CLI0004027,PROD012,33808703.0,30984143.0,25784252.0,1291006.0,2024-12-06,2026-11-26,26,4.0,B
OBL0000154,CLI0001298,PROD011,39648264.0,36343474.0,27861565.0,1514311.0,2024-07-18,2026-07-08,0,5.0,A
OBL0000155,CLI0002368,PROD013,14183638.0,12439184.0,5421191.0,1036599.0,2024-03-31,2025-03-26,19,6.0,B
OBL0000156,CLI0000489,PROD001,27150979.0,24015603.0,7516817.0,500325.0,2024-06-03,2028-05-13,2,32.0,B
OBL0000157,CLI0004420,PROD002,4998457.0,4808804.0,4554486.0,80147.0,2024-10-12,2029-09-16,0,3.0,A
OBL0000158,CLI0004453,PROD006,47257205.0,42485465.0,2717353.0,885114.0,2024-02-04,2028-01-14,64,44.0,D
OBL0000159,CLI0005440,PROD006,4460268.0,3853038.0,885120.0,80272.0,2024-09-10,2028-08-20,215,36.0,E
OBL0000160,CLI0009810,PROD012,23515045.0,23447815.0,3903286.0,976992.0,2024-08-05,2026-07-26,0,20.0,A
OBL0000161,CLI0004138,PROD007,35111712.0,31121591.0,19635102.0,864489.0,2024-10-09,2027-09-24,0,13.0,A
OBL0000162,CLI0009227,PROD003,13955895.0,12773745.0,8811435.0,354826.0,2024-10-27,2027-10-12,0,11.0,A
OBL0000163,CLI0003471,PROD003,13940750.0,12637505.0,9071571.0,351042.0,2024-02-22,2027-02-06,76,10.0,D
OBL0000164,CLI0000477,PROD008,9791564.0,9303393.0,4028339.0,775283.0,2024-05-30,2025-05-25,0,6.0,A
OBL0000165,CLI0003714,PROD010,4679886.0,4558492.0,1995080.0,126625.0,2024-03-14,2027-02-27,2,20.0,B
OBL0000166,CLI0001505,PROD012,32395735.0,30946946.0,28190757.0,1289456.0,2024-06-16,2026-06-06,0,2.0,A
OBL0000167,CLI0001168,PROD014,39245291.0,33399354.0,9596913.0,1391640.0,2024-07-30,2026-07-20,76,17.0,D
OBL0000168,CLI0005934,PROD009,25154677.0,22077365.0,3404516.0,613260.0,2024-04-10,2027-03-26,0,30.0,A
OBL0000169,CLI0005944,PROD013,40714997.0,40453747.0,6091049.0,3371146.0,2024-02-14,2025-02-08,0,10.0,A
OBL0000170,CLI0006335,PROD009,24057097.0,23821517.0,19366178.0,661709.0,2024-02-18,2027-02-02,0,6.0,A
OBL0000171,CLI0002154,PROD013,40004994.0,37395398.0,28657599.0,3116283.0,2024-08-27,2025-08-22,274,2.0,E
OBL0000172,CLI0000120,PROD009,44616360.0,42154157.0,39113375.0,1170949.0,2024-05-12,2027-04-27,12,2.0,B
OBL0000173,CLI0004060,PROD009,13657636.0,13539848.0,6573819.0,376107.0,2024-07-08,2027-06-23,0,18.0,A
OBL0000174,CLI0003708,PROD014,22867373.0,20445539.0,20251440.0,851897.0,2024-08-26,2026-08-16,0,0.0,A
OBL0000175,CLI0006797,PROD004,44554637.0,39504144.0,9956136.0,1097337.0,2024-12-04,2027-11-19,0,26.0,A
OBL0000176,CLI0004608,PROD005,31273123.0,26667397.0,13684521.0,444457.0,2024-08-16,2029-07-21,0,29.0,A
OBL0000177,CLI0006449,PROD005,19037259.0,17936927.0,1498843.0,298949.0,2024-09-24,2029-08-29,0,54.0,A
OBL0000178,CLI0004519,PROD009,41715898.0,41491268.0,29565669.0,1152535.0,2024-12-27,2027-12-12,0,10.0,A
OBL0000179,CLI0009713,PROD010,26051375.0,25093077.0,4064908.0,697030.0,2024-04-01,2027-03-17,4,30.0,B
OBL0000180,CLI0002354,PROD001,1434368.0,1232642.0,605716.0,25680.0,2024-11-30,2028-11-09,44,24.0,C
OBL0000181,CLI0007333,PROD004,37078685.0,33329419.0,6476.0,925817.0,2024-01-19,2027-01-03,42,35.0,C
OBL0000182,CLI0004846,PROD014,10249284.0,9095164.0,5433405.0,378965.0,2024-03-21,2026-03-11,0,9.0,A
OBL0000183,CLI0001809,PROD002,21301408.0,20081239.0,2973294.0,334687.0,2024-05-19,2029-04-23,55,51.0,C
OBL0000184,CLI0001805,PROD002,48227117.0,42005808.0,19280693.0,700097.0,2024-04-19,2029-03-24,0,32.0,A
OBL0000185,CLI0000174,PROD010,1438054.0,1371637.0,472972.0,38101.0,2024-12-15,2027-11-30,0,23.0,A
OBL0000186,CLI0009022,PROD003,42954081.0,39092827.0,30937491.0,1085912.0,2024-11-13,2027-10-29,0,7.0,A
OBL0000187,CLI0000387,PROD010,21450166.0,21350297.0,1210561.0,593064.0,2024-12-09,2027-11-24,0,33.0,A
OBL0000188,CLI0000791,PROD015,38705338.0,35191206.0,29875775.0,586520.0,2024-12-25,2029-11-29,58,9.0,C
OBL0000189,CLI0000064,PROD004,43882819.0,37782553.0,28174450.0,1049515.0,2024-02-27,2027-02-11,0,9.0,A
OBL0000190,CLI0009450,PROD006,45556846.0,40968188.0,16345202.0,853504.0,2024-12-30,2028-12-09,0,28.0,A
OBL0000191,CLI0007670,PROD005,43321480.0,39971421.0,8317861.0,666190.0,2024-05-01,2029-04-05,0,47.0,A
OBL0000192,CLI0008599,PROD015,47954583.0,43235770.0,28836568.0,720596.0,2024-08-12,2029-07-17,0,19.0,A
OBL0000193,CLI0005193,PROD015,19042907.0,16958747.0,2668125.0,282646.0,2024-06-14,2029-05-19,28,50.0,B
OBL0000194,CLI0001993,PROD012,39872622.0,39775977.0,8886854.0,1657332.0,2024-05-12,2026-05-02,0,18.0,A
OBL0000195,CLI0004818,PROD004,14820715.0,13474915.0,9083009.0,374303.0,2024-02-15,2027-01-30,0,11.0,A
OBL0000196,CLI0002316,PROD004,6007511.0,5668255.0,4859027.0,157452.0,2024-03-31,2027-03-16,78,5.0,
OBL0000197,CLI0005995,PROD005,47528578.0,40979501.0,34056840.0,682992.0,2024-01-06,2028-12-10,19,10.0,B
OBL0000198,CLI0008283,PROD013,8382899.0,8265992.0,5538714.0,688833.0,2024-05-21,2025-05-16,0,3.0,A
OBL0000199,CLI0001839,PROD004,25645755.0,23986950.0,19497790.0,666304.0,2024-12-03,2027-11-18,26,6.0,B
OBL0000200,CLI0005630,PROD001,22415300.0,19280771.0,11858706.0,401683.0,2024-12-19,2028-11-28,0,18.0,A
OBL0000201,CLI0002453,PROD010,36302279.0,35509556.0,8402547.0,986377.0,2024-11-02,2027-10-18,0,27.0,A
OBL0000202,CLI0006890,PROD004,38383686.0,33213905.0,18899778.0,922608.0,2024-01-10,2026-12-25,0,15.0,A
OBL0000203,CLI0009632,PROD003,1703137.0,1676884.0,23717.0,46580.0,2024-09-16,2027-09-01,0,35.0,A
OBL0000204,CLI0007149,PROD015,30871253.0,27092643.0,17779815.0,451544.0,2024-04-11,2029-03-16,0,20.0,A
OBL0000205,CLI0001346,PROD014,36908323.0,32504828.0,8984167.0,1354368.0,2024-09-29,2026-09-19,6,17.0,B
OBL0000206,CLI0004806,PROD014,14810168.0,14579216.0,2386260.0,607467.0,2024-01-15,2026-01-04,0,20.0,A
OBL0000207,CLI0000892,PROD015,20277364.0,17830452.0,7846859.0,297174.0,2024-02-19,2029-01-23,0,33.0,A
OBL0000208,CLI0007581,PROD011,34420171.0,31620711.0,8570259.0,1317530.0,2024-03-01,2026-02-19,0,17.0,A
OBL0000209,CLI0008628,PROD004,46179600.0,45340417.0,23522992.0,1259456.0,2024-08-04,2027-07-20,0,17.0,A
OBL0000210,CLI0003868,PROD009,20405987.0,19698000.0,7145839.0,547167.0,2024-11-30,2027-11-15,0,22.0,A
OBL0000211,CLI0009367,PROD011,37005368.0,31741767.0,12388387.0,1322574.0,2024-06-30,2026-06-20,0,14.0,A
OBL0000212,CLI0004408,PROD005,15279159.0,14060454.0,13423399.0,234341.0,2024-06-09,2029-05-14,0,2.0,A
OBL0000213,CLI0000308,PROD015,45063372.0,39659468.0,17870690.0,660991.0,2024-07-11,2029-06-15,15,32.0,B
OBL0000214,CLI0007723,PROD003,47681094.0,42599515.0,14339774.0,1183320.0,2024-03-21,2027-03-06,0,23.0,A
OBL0000215,CLI0007514,PROD008,24751161.0,22445398.0,19829988.0,1870450.0,2024-07-26,2025-07-21,0,1.0,A
